event_id,name,start_date,end_date,location
718,International Climbing Festival (under 14) - Veliko Tarnovo (BUL) 2011,2011-07-27,2011-07-29,Under14_Veliko
722,Rheintal Cup - Megusta-Kids-Cup (L),2011-09-24,2011-09-24,Megusta-Kids-Cup
723,Rheintal Cup - Megusta-Kids-Cup (S),2011-09-24,2011-09-24,Speed Megusta
725,Jiangyin Rock Master - Jiangyin (CHN) 2011,2011-10-15,2011-10-16,Jiangyin_11
726,Rheintal Cup Finale - Nikoloklettern Dornbirn (L),2011-12-03,2011-12-03,RC Nikoloklettern Do
727,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",2012-04-13,2012-04-14,Chongqing
728,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2012,2012-04-21,2012-04-22,Log-Dragomer
729,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,2012-04-27,2012-04-28,Vienna
730,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012,2012-05-18,2012-05-19,Innsbruck
731,IFSC Climbing Worldcup (B) - Vail (USA) 2012 ,2012-06-01,2012-06-02,Vail
732,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2012",2012-07-12,2012-07-13,Chamonix
733,IFSC Climbing Worldcup (L) - Briançon (FRA) 2012,2012-07-20,2012-07-21,Briançon
734,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,2012-07-28,2012-07-29,Daone
735,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,2012-08-10,2012-08-11,Imst
736,IFSC Climbing Worldcup (B) - Munich (GER) 2012,2012-08-25,2012-08-26,Munich
737,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,2012-09-01,2012-09-02,Arco
738,IFSC Climbing World Championship - Paris (FRA) 2012,2012-09-12,2012-09-16,WCH Paris
739,IFSC World Championship Lead Group A - Paris 2012,2012-09-11,2012-09-12,Paris
740,IFSC World Championship Lead Group B - Paris 2012,2012-09-11,2012-09-12,Paris
741,IFSC Climbing Worldcup (L) - Puurs (BEL) 2012,2012-09-21,2012-09-22,Puurs
742,IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,2012-09-29,2012-09-30,Atlanta
743,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",2012-10-12,2012-10-13,Xining
744,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",2012-10-20,2012-10-21,Mokpo
745,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,2012-10-27,2012-10-28,Inzai
746,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,2012-11-17,2012-11-18,Kranj
747,IFSC World Youth Championship - Singapore (SIN) - 2012,2012-08-29,2012-09-01,YWCH Singapore
750,"Asian Continental Championship - Leye, Guangxi (CHN) 2012",2012-04-25,2012-04-28,Asian_Ch_12
752,Asian Youth Championship - Hamedan (IRI) 2012,2012-07-11,2012-07-13,Asian_Youth_Chp_12
753,"European Youth Cup (L,S) - Edinburgh (GBR) 2012",2012-05-18,2012-05-20,Edinburgh
754,"European Youth Cup (L,S) - Moscow (RUS) 2012",2012-05-25,2012-05-27,Moscow
755,European Youth Cup (B) - Grindelwald (SUI) 2012,2012-06-02,2012-06-03,Grindelwald
756,European Youth Cup (L) - Voiron (FRA) 2012,2012-06-09,2012-06-09,Voiron
757,European Youth Cup (L) - Linz (AUT) 2012,2012-06-30,2012-07-01,Linz
758,European Youth Cup (S) - Chamonix (FRA) 2012,2012-07-08,2012-07-08,Chamonix
759,European Youth Cup (B) - L'Argentière (FRA) 2012,2012-07-25,2012-07-26,Argentiere
760,European Youth Cup (L) - Imst (AUT) 2012,2012-08-04,2012-08-05,Imst
761,European Youth Cup (S) - Pieve (ITA) 2012,2012-08-11,2012-08-11,Pieve
762,"European Youth Championship (L,S) - Gémozac (FRA) 2012",2012-11-02,2012-11-04,Gemozac
763,European Youth Cup (L) - Kranj (SLO) 2012,2012-11-24,2012-11-25,Kranj
764,"IFSC Panamerican Championship (L, S, B) - San Juan de los Morros (VEN) 2012",2012-11-07,2012-11-10,
765,"PanAmerican Youth Championship (L,S, B) - Santiago (CHI) 2012",2012-11-21,2012-11-25,PAC YCH Santiago
769,Rheintal Cup - Junior Cup Dornbirn (L) 2012,2012-03-24,2012-03-24,RC Dornbirn Junior
770,Rheintal Cup - Bouldertag Küblis (B) 2012,2012-04-15,2012-04-15,RB Küblis
782,"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2012",2012-08-30,2012-08-31,Arco_Open
783,"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2012",2012-09-01,2012-09-02,Arco_RM_12
784,Rheintal Cup - Megusta Cup Chur 2012,2012-09-22,2012-09-22,RC Megusta Chur 
785,Rheintal Cup - Megusta Cup Chur (S) 2012,2012-09-22,2012-09-22,RC Megusta Speed
788,Rheintal Cup - Nikoloklettern Dornbirn (L) 2012,2012-12-08,2012-12-08,RC Dornbirn
789,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",2013-03-22,2013-03-23,Chongqing
790,IFSC Climbing Worldcup (B) - Millau (FRA) 2013,2013-04-05,2013-04-06,Millau
791,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,2013-04-26,2013-04-27,Kitzbühel
792,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,2013-05-11,2013-05-12,Log-Dragomer
793,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2013,2013-05-17,2013-05-18,Innsbruck
794,IFSC Climbing Worldcup (B) - Toronto (CAN) 2013,2013-06-01,2013-06-02,Toronto
795,IFSC Climbing Worldcup (B) - Vail (USA) 2013,2013-06-07,2013-06-08,Vail
796,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,2013-06-22,2013-06-23,Baku
797,IFSC Climbing Worldcup (L) - Briançon (FRA) 2013,2013-07-19,2013-07-20,Briançon
798,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,2013-08-09,2013-08-10,Imst
799,IFSC Climbing Worldcup (B) - Munich (GER) 2013,2013-08-24,2013-08-25,Munich
800,IFSC Climbing Worldcup (S) - Arco (ITA) 2013,2013-09-07,2013-09-07,Arco
801,IFSC Climbing Worldcup (L) - Puurs (BEL) 2013,2013-09-20,2013-09-21,Puurs
802,"IFSC Climbing Worldcup (L,S) - Perm (RUS) 2013",2013-09-27,2013-09-29,Perm
803,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2013",2013-10-11,2013-10-12,Mokpo
804,IFSC Climbing Worldcup (S) - Haiyang (CHN) 2013,2013-10-15,2013-10-16,Haiyang
805,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",2013-10-19,2013-10-20,Wujiang
806,IFSC Climbing Worldcup (L) - Valence (FRA) 2013,2013-11-01,2013-11-02,Valence
807,IFSC Climbing Worldcup (L) - Kranj (SLO) 2013,2013-11-16,2013-11-17,Kranj
808,IFSC World Youth Championship - Central Saanich (CAN) - 2013,2013-08-15,2013-08-19,WYCH Saanich
813,"Asian Continental Championship - Tehran, (IRN) 2013",2013-05-22,2013-05-24,Asian Champ.
814,Asian Youth Championship - Surabaya (INA) 2013,2013-12-11,2013-12-14,Asian_Youth_Chp_13
815,"European Cup (L, S) - Ekaterinburg (RUS) 2013",2013-05-16,2013-05-19,EC Ekaterinburg
816,"European Championship (L,S) - Chamonix (FRA) 2013 ",2013-07-10,2013-07-13,LSEuro Chamonix
817,European Championship (B) - Eindhoven (NED) 2013,2013-08-31,2013-09-01,Eindhoven
818,European Youth Championship (B) - Grindelwald (SUI) 2013,2013-05-25,2013-05-26,BEuro Grindelwald
819,"European Youth Cup (L, S) - Edinburgh (GBR) 2013",2013-06-08,2013-06-09,Edinburgh
820,European Youth Cup (B) - Sofia (BUL) 2013,2013-06-28,2013-06-30,Sofia
821,European Youth Cup (S) - Imst (AUT) 2013,2013-06-29,2013-06-29,Imst
822,European Youth Cup (S) - Chamonix (FRA) 2013,2013-07-09,2013-07-11,Chamonix
823,European Youth Cup (B) - L'Argentière (FRA) 2013,2013-07-22,2013-07-23,Argentiere
824,"European Youth Championship (L,S) - Imst (AUT) 2013",2013-07-25,2013-07-28,LSEuro Imst
825,European Youth Cup (L) - Stavanger (NOR) 2013,2013-09-07,2013-09-08,Stavanger
826,European Youth Cup (B) - Laval (FRA) 2013,2013-10-12,2013-10-13,Laval
827,Oceania Continental Championship - Nouméa (New Caledonia) 2013,2013-05-25,2013-05-26,Oceania Championship
828,"2nd CISM World Winter Games ""Annecy-Chamonix 2013""",2013-03-25,2013-03-29,CISM
829,The World Games 2013 - Cali (COL) 2013,2013-08-03,2013-08-04,WG_2013
830,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2013,2013-03-02,2013-03-03,Promo Sheffield
842,"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2013",2013-09-05,2013-09-06,Arco_Open
843,"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2013",2013-09-07,2013-09-07,Arco Rockmaster
847,Promotional Event -  (L) - Haiyang (CHN) 2013,2013-10-15,2013-10-16,Haiyang Promo
849,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",2014-04-26,2014-04-27,Chongqing
850,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",2014-05-03,2014-05-04,Baku
851,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 ,2014-05-10,2014-05-11,Grindelwald
852,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,2014-05-16,2014-05-17,Innsbruck
853,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,2014-05-31,2014-06-01,Toronto
854,IFSC Climbing Worldcup (B) - Vail (USA) 2014,2014-06-06,2014-06-07,Vail
855,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",2014-06-20,2014-06-22,Haiyang
856,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,2014-06-27,2014-06-28,Laval
857,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",2014-07-10,2014-07-12,Chamonix
858,IFSC Climbing Worldcup (L) - Briançon (FRA) 2014,2014-07-19,2014-07-20,Briançon
859,IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,2014-08-01,2014-08-02,Imst
860,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014-08-21,2014-08-23,Munich
861,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,2014-08-30,2014-08-31,Arco
862,"IFSC Climbing World Championship (L, S) - Gijon (ESP) 2014",2014-09-08,2014-09-14,Gijon
863,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",2014-10-11,2014-10-12,Mokpo
864,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2014 ",2014-10-18,2014-10-19,Wujiang
865,IFSC Climbing Worldcup (L) - Inzai (JPN) 2014 ,2014-10-25,2014-10-26,Inzai
866,IFSC Climbing Worldcup (L) - Kranj (SLO) 2014 ,2014-11-15,2014-11-16,Kranj
867,"IFSC World Youth Championship - Noumea, New Caledonia (FRA) - 2014",2014-09-19,2014-09-23,WYCH Noumea
874,22th Asian Continental Championship - Lombok (INA) 2014,2014-10-01,2014-10-03,ACH Lombok
875,European Youth Cup (L) - Imst (AUT) 2014 ,2014-05-31,2014-06-01,ImstEYC
876,"European Youth Championship (L,S) - Edinburgh 2014",2014-06-14,2014-06-15,LSEuro Edin
877,European Youth Cup (S) - Imst (AUT) 2014 ,2014-07-05,2014-07-05,ImstEYC
878,European Youth Cup (S) - Chamonix (FRA) 2014 ,2014-07-09,2014-07-09,ChamEYC14
879,European Youth Cup (B) - L'Argentière (FRA) 2014 ,2014-07-22,2014-07-23,ArgentiereEYC14
880,European Youth Cup (B) - Laengenfeld/Oetzal (AUT) 2014 ,2014-08-15,2014-08-16,LaengenfeldEYC14
881,European Youth Championship (B) - Arco (ITA) 2014 ,2014-09-06,2014-09-07,BEuro Arco
882,"PanAmerican Youth Championship (L,S, B) - Mexico City (MEX) 2014",2014-11-26,2014-11-30,PAC YCH Mexico City
883,Oceania International Open - Katoomba (AUS) 2014,2014-10-17,2014-10-19,Oceania Master
886,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2014,2014-03-15,2014-03-16,Promo Sheffield
892,"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2014",2014-08-28,2014-08-29,Arco_Open
893,"Intl. Event (L, B) - ROCKMASTER - Arco (ITA) 2014",2014-08-30,2014-08-31,Arco Rockmaster
897,IFSC Climbing Worldcup (S) - Central Saanich (CAN) 2015,2015-05-17,2015-05-17,Saanich15 
898,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,2015-05-30,2015-05-31,Toronto15 
899,IFSC Climbing Worldcup (B) - Vail (USA) 2015,2015-06-05,2015-06-06,Vail
900,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",2015-06-20,2015-06-21,Chongqing
901,"IFSC Climbing Worldcup (B,S) - Haiyang (CHN) 2015",2015-06-26,2015-06-27,Haiyang
902,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",2015-07-10,2015-07-12,Chamonix
903,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,2015-07-17,2015-07-18,Briançon
904,IFSC Climbing Worldcup (L) - Imst (AUT) 2015 ,2015-07-31,2015-08-01,Imst
905,IFSC Climbing Worldcup (B) - Munich (GER) 2015,2015-08-14,2015-08-15,Munich
906,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,2015-08-21,2015-08-22,Stavanger
907,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015 ,2015-09-26,2015-09-27,Puurs
908,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2015",2015-10-17,2015-10-18,Wujiang
909,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,2015-11-14,2015-11-15,Kranj
910,IFSC World Youth Championships - Arco (ITA) - 2015,2015-08-28,2015-09-06,WYCH Arco
914,Asian Continental Championship - Ningbo (CHN) 2015,2015-11-22,2015-11-24,ACH Ningbo
915,Asian Youth Championship - Putrajaya (MAS) 2015,2015-12-02,2015-12-06,Asian_Youth_Chp_15
916,European Championship (B) - Innsbruck (AUT) 2015,2015-05-14,2015-05-16,InnsbruckECH15
917,"European Championship (L,S) - Chamonix (FRA) 2015",2015-07-10,2015-07-12,ChamECH15
918,European Youth Cup (L) - Dornbirn (AUT) 2015 ,2015-05-09,2015-05-10,DornbirnEYC15
919,European Youth Cup (L) - Imst (AUT) 2015,2015-05-30,2015-05-31,ImstEYC15
920,European Youth Cup (S) - Tarnow (POL) 2015 ,2015-06-06,2015-06-06,ImstEYC
921,European Youth Cup (B) - Laengenfeld (AUT) 2015 ,2015-07-04,2015-07-05,LaengenfeldEYC15
922,"European Youth Championship (L, S) - Edinburgh (GBR) 2015",2015-06-12,2015-06-14,LSEuro Edin
923,European Youth Championship (B) - L'Argentière la Bessée (FRA) 2015 ,2015-07-21,2015-07-22,BEuro Argentiere
924,European Youth Cup (L) - Mitterdorf (AUT) 2015 ,2015-08-08,2015-08-09,MitterdorfEYC15
925,European Youth Cup (S) - Imst (AUT) 2015 ,2015-08-22,2015-08-22,ImstEYC
926,European Universities Sport Climbing Championship - Katowice (POL) 2015,2015-08-05,2015-08-09,EUC15
929,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2015,2015-03-07,2015-03-08,Promo Sheffield
937,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2016,2016-04-15,2016-04-16,MeiringenWC
938,IFSC Climbing Worldcup (B) - Kazo (JPN) 2016,2016-04-23,2016-04-24,KazoWC
939,"IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016",2016-04-30,2016-05-01,ChongqingWC
940,IFSC Climbing Worldcup (S) - Nanjing (CHN) 2016,2016-05-07,2016-05-08,NanjingWC
941,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016,2016-05-14,2016-05-15,NaviMumbaiWC
942,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016,2016-05-20,2016-05-21,TyrolWC
943,IFSC Climbing Worldcup (B) - Vail (USA) 2016,2016-06-10,2016-06-11,VailWC
944,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",2016-07-11,2016-07-12,ChamonixWC
945,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",2016-07-15,2016-07-16,VillarsWC
946,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,2016-07-22,2016-07-23,BriançonWC
947,IFSC Climbing Worldcup (B) - Munich (GER) 2016,2016-08-12,2016-08-13,MunichWC
948,IFSC Climbing Worldcup (L) - Imst (AUT) 2016 ,2016-08-19,2016-08-20,ImstWC
949,"IFSC Climbing Worldcup (L, S) - Arco (ITA) 2016",2016-08-26,2016-08-27,ArcoWC
950,IFSC Climbing World Championships - Paris (FRA) 2016,2016-09-13,2016-09-18,WCH Paris
951,IFSC Climbing Worldcup (S) -  Wujiang (CHN) 2016,2016-10-18,2016-10-19,Wujiang
952,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,2016-11-26,2016-11-27,KranjWC
953,IFSC World Youth Championships - Guangzhou (CHN) - 2016,2016-11-07,2016-11-13,WYCH Guangzhou
958,Asian Continental Championship - Duyun (CHN) 2016,2016-08-03,2016-08-06,ACH Duyun
959,Asian Youth Championship - Tehran (IRI) 2016,2016-09-26,2016-09-30,Asian_Youth_Chp_16
960,European Youth Cup (S) - Tarnow (POL) 2016 ,2016-04-16,2016-04-18,EYC_POL_16
961,European Youth Cup (B) - Soure (POR) 2016,2016-05-07,2016-05-08,EYC_POR_16
962,European Youth Cup (L) - Imst (AUT) 2016 ,2016-05-28,2016-05-29,EYC_AUT_L_16
963,European Youth Cup (B) - Graz (AUT) 2016 ,2016-06-18,2016-06-19,EYC_Graz_16
964,European Youth Cup (B) - Warsaw (POL) 2016 ,2016-07-02,2016-07-03,EYC_Warsaw_16
965,European Youth Cup (B) - L'Argentière (FRA) 2016 ,2016-07-26,2016-07-27,EYC_Argentiere_16
966,European Youth Championships (B) - Langenfeld (AUT) 2016 ,2016-08-04,2016-08-06,EYCH_Langenfeld_16
967,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016 ",2016-09-02,2016-09-04,EYCH_Mitterdorf_16
968,European Youth Cup (S) - Imst (AUT) 2016 ,2016-09-10,2016-09-10,EYC_AUT_S_16
969,Oceania Continental Championship - Sidney (AUS) 2016,2016-06-17,2016-06-19,Oceania Championship
973,World University Championships - Shanghai (CHN) 2016,2016-10-12,2016-10-16,UCH16
976,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2016,2016-03-12,2016-03-13,Promo Sheffield
979,Promotional Event (B) IMF GIRIVIHAR - Navi Mumbai (IND) 2016,2016-05-16,2016-05-16,NaviMumbaiPromo 
981,Master Event - Tout à Bloc (B) - L'Argentière la Bessée (FRA) 2016,2016-07-28,2016-07-30,TAB 2016
985,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ,2017-04-07,2017-04-08,MeiringenWC
986,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017",2017-04-22,2017-04-23,ChongqingWC
987,"IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017",2017-04-29,2017-04-30,NanjingWC
988,"IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017",2017-05-06,2017-05-07,TokyoWC
989,IFSC Climbing Worldcup (B) - Vail (USA) 2017,2017-06-09,2017-06-10,VailWC
990,IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2017,2017-06-24,2017-06-25,MumbaiWC
991,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",2017-07-07,2017-07-08,VillarsWC
992,IFSC Climbing Worldcup (B) - Munich (GER) 2017 ,2017-08-18,2017-08-19,MunichWC
993,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017 ",2017-08-25,2017-08-26,ArcoWC
994,"IFSC Climbing Worldcup (L,S) - Edinburgh (GBR) 2017",2017-09-23,2017-09-24,EdinburghWC
995,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2017",2017-10-07,2017-10-08,Wujiang
996,"IFSC Climbing Worldcup (L,S) - Xiamen (CHN) 2017",2017-10-14,2017-10-15,XiamenWC
997,IFSC Climbing Worldcup (L) - Kranj (SLO) 2017,2017-11-11,2017-11-12,KranjWC
998,IFSC Youth World Championships - Innsbruck (AUT) - 2017,2017-08-30,2017-09-10,WYCH Innsbruck
999,IFSC Youth World Championships Combined - Innsbruck (AUT) - 2017,2017-09-08,2017-09-09,YWCH Combined
1004,Asian Continental Championships - Tehran (IRI) 2017,2017-09-18,2017-09-21,ACH Tehran
1005,Asia Cup - Wanxianshan (CHN) 2017,2017-10-27,2017-10-29,Asia_Cup_17
1007,Asian Youth Championships - Singapore (SGP) 2017,2017-07-05,2017-07-09,Asian_Youth_Chp_17
1008,"European Championship (L,S) - Campitello di Fassa (ITA) 2017 ",2017-06-30,2017-07-01,CAMPECH17
1009,European Championship (B) - Munich (GER) 2017 ,2017-08-18,2017-08-19,MunichECH
1010,European Youth Cup (B) - Graz (AUT) 2017 ,2017-04-29,2017-04-30,EYC_Graz_17
1011,European Youth Cup (S) - Tarnow (POL) 2017,2017-05-12,2017-05-13,EYC_POL_17
1012,European Youth Cup (B) - Soure (POR) 2017,2017-05-20,2017-05-21,EYC_POR_17
1013,European Youth Cup (L) - Imst (AUT) 2017,2017-05-27,2017-05-28,EYC_AUT_L_17
1014,European Youth Cup (L) - Dornbirn (AUT) 2017,2017-06-10,2017-06-11,EYC_AUT_L_17
1015,European Youth Cup (S) - Bologna (ITA) 2017,2017-06-17,2017-06-17,EYC_ITA_17
1016,European Youth Cup (L) - Uster (SUI) 2017,2017-06-24,2017-06-25,EYC_AUT_L_17
1017,European Youth Cup (B) - L'Argentière (FRA) 2017 ,2017-07-18,2017-07-19,EYC_Argentiere_17
1018,European Youth Cup (B) - Sofia (BUL) 2017,2017-08-05,2017-08-06,Sofia
1019,European Youth Cup (L) - Mitterdorf (AUT) 2017,2017-08-12,2017-08-13,EYC_AUT_L_17
1020,European Youth Cup (S) - Imst (AUT) 2017,2017-08-27,2017-08-27,EYC_AUT_S_17
1021,European Youth Championships (B) - Slany (CZE) 2017,2017-09-15,2017-09-16,EYCH_Slany_17
1022,"European Youth Championships (L,S) - Perm (RUS) 2017",2017-09-28,2017-10-01,EYCH_Perm_17
1023,European Youth Championship Combined (Youth A) - Saint-Etienne (FRA) 2017,2017-11-25,2017-11-26,EYCH_St.Etienne_2017
1024,"PanAmerican Youth Championship (L, S, B) - Montreal (CAN) 2017 ",2017-10-30,2017-11-05,PAC Montreal
1025,PanAmerican Youth Championship Combined - Montreal (CAN) 2017 ,2017-10-29,2017-10-30,PAC Montreal Comb
1027,3rd CISM World Winter Games - Sochi (RUS) 2017,2017-02-22,2017-02-27,CISM2017
1028,The World Games 2017 - Wroclaw (POL) 2017,2017-07-21,2017-07-23,WG_2017
1029,"African Youth A YOG - Johannesburg, Gauteng (RSA) 2017",2017-12-07,2017-12-08,YOG17
1032,Promo Event - The Climbing Works International Festival (B) - Sheffield (GBR) 2017,2017-03-18,2017-03-19,Promo Sheffield
1045,China Open Qualification - Guangzhou (CHN) 2017,2017-11-17,2017-11-17,China_Open_17
1046,China Open - Guangzhou (CHN) 2017,2017-11-18,2017-11-19,China_Open_17
1047,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,2018-04-13,2018-04-14,MeiringenWC
1048,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018 ",2018-04-21,2018-04-22,MoscowWC
1049,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2018 ",2018-05-05,2018-05-06,ChongqingWC
1050,"IFSC Climbing Worldcup (B,S) - Tai'an (CHN) 2018 ",2018-05-12,2018-05-13,TaianWC
1051,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,2018-06-02,2018-06-03,TokyoWC
1052,IFSC Climbing Worldcup (B) - Vail (USA) 2018 ,2018-06-08,2018-06-09,VailWC
1053,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 ",2018-07-06,2018-07-07,VillarsWC
1054,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ",2018-07-11,2018-07-13,ChamonixWC
1055,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018 ,2018-07-20,2018-07-21,BriançonWC
1056,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018 ",2018-07-27,2018-07-28,ArcoWC
1057,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,2018-08-17,2018-08-18,MunichWC
